sysaudacts,59,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:03.980,2017-08-22 19:38:03.987,1,0,0
sysobjvalues,60,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:11.170,2009-04-13 12:59:11.170,1,0,0
syscscolsegments,62,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.113,2017-10-17 20:29:51.783,1,0,0
syscsdictionaries,63,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.117,2017-10-17 20:29:51.783,1,0,0
sysclsobjs,64,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:11.200,2009-04-13 12:59:11.200,1,0,0
sysrowsetrefs,65,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:11.373,2017-08-22 19:38:03.773,1,0,0
sysremsvcbinds,67,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.860,2009-04-13 12:59:12.883,1,0,0
sysxmitqueue,68,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.890,2017-08-22 19:38:04.050,1,0,0
sysrts,69,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.873,2009-04-13 12:59:12.900,1,0,0
sysconvgroup,71,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.873,2009-04-13 12:59:12.883,1,0,0
sysdesend,72,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.903,2009-04-13 12:59:13.003,1,0,0
sysdercv,73,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:13.000,2017-08-22 19:38:04.107,1,0,0
syssingleobjrefs,74,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:10.967,2009-04-13 12:59:10.967,1,0,0
sysmultiobjrefs,75,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:10.983,2009-04-13 12:59:10.983,1,0,0
sysguidrefs,78,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.577,2009-04-13 12:59:12.600,1,0,0
sysfoqueues,79,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.180,2017-08-22 19:38:04.187,1,0,0
syschildinsts,80,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.123,2017-08-22 19:38:04.130,1,0,0
syscompfragments,82,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:03.987,2017-08-22 19:38:03.993,1,0,0
sysftsemanticsdb,84,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.167,2017-08-22 19:38:04.173,1,0,0
sysftstops,85,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:03.990,2017-08-22 19:38:03.997,1,0,0
sysftproperties,86,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.040,2017-08-22 19:38:04.053,1,0,0
