udfBuildISO8601Date,dbo,SQL_SCALAR_FUNCTION,2017-10-27 14:36:29.000,2017-10-27 14:36:29.000
udfMinimumDate,dbo,SQL_SCALAR_FUNCTION,2017-10-27 14:36:29.013,2017-10-27 14:36:29.013
udfTwoDigitZeroFill,dbo,SQL_SCALAR_FUNCTION,2017-10-27 14:36:29.017,2017-10-27 14:36:29.017
